Country,Item List
Czech Republic,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Democratic Republic of the Congo,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Denmark,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Djibouti,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Dominica,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Dominican Republic,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
East Timor,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Egypt,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
El Salvador,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Equatorial Guinea,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Eritrea,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Estonia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Ethiopia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Federated States of Micronesia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Fiji,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Finland,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
France,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Gabon,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Georgia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Germany,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Ghana,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Greece,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Greenland,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Grenada,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Guatemala,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Guinea,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Guinea-Bissau,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Haiti,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Honduras,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Hungary,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Iceland,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
India,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Indonesia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Iran,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Iraq,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Ireland,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Israel,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Italy,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Jamaica,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Japan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Jordan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Kazakhstan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Kenya,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Kiribati,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Kosovo,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Kuwait,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Kyrgyzstan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Laos,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Latvia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Lebanon,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Lesotho,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Liberia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Libya,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Liechtenstein,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Lithuania,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Luxembourg,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Macedonia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Madagascar,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Malawi,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Malaysia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Maldives,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Mali,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Malta,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Marshall Islands,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Mauritania,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Mauritius ,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Mexico,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Moldova ,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Monaco,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Mongolia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Montenegro,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Morocco,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Mozambique,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Myanmar,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Namibia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Nauru,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Nepal,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Netherlands,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
New Zealand,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Nicaragua,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Niger,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Nigeria,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
North Korea,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Norway,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Oman,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Pakistan,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Palau,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Panama,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Papua New Guinea,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Philippines,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Poland,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Portugal,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Qatar,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Republic of the Congo,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Romania,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Russia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Rwanda,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Saint Kitts and Nevis ,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Saint Lucia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Saint Vincent and the Grenadines,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Samoa ,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
San Marino,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Sao Tome and Principe,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Saudi Arabia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Senegal,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Serbia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Seychelles ,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Sierra Leone,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
